Image;Tag;Title Lent;Title Lent_link;Game Genre 1;Game Genre 3;Game Date;Game Genre 4
https://stopga.me/images/games/logos/15266/c170x119/bEKoEhg2Bn1VoRXHBMUYKA/death_s_gambit.jpg;6.8;Death's Gambit;https://stopgame.ru/game/death_s_gambit;rpg;;13 августа 2018 г.;NSW, PC, PS4, XONE
https://stopga.me/images/games/logos/5244/c170x119/MKJ7HW3tPF6eGA6RHX6HJQ/street_racing_syndicate.jpg;6.8;Street Racing Syndicate;https://stopgame.ru/game/street_racing_syndicate;arcade;racing;31 августа 2004 г.;GC, PC, PS2, XBOX
https://stopga.me/images/games/logos/15540/c170x119/bCKi17oi47CTLrwTXQdGcg/walking_dead_michonne_episode_two.jpg;6.8;Walking Dead: Michonne - Episode 2: Give No Shelter, The;https://stopgame.ru/game/walking_dead_michonne_episode_two;adventure;;29 марта 2016 г.;Android, iOS, PC, PS3, PS4, X360, XONE
https://stopga.me/images/games/logos/14832/c170x119/Dejn1AEQ9tEfV6m5ZC7XQw/middle_earth_shadow_of_mordor_lord_of_the_hunt.jpg;6.8;Middle-earth: Shadow of Mordor - Lord of the Hunt;https://stopgame.ru/game/middle_earth_shadow_of_mordor_lord_of_the_hunt;action;add-on;16 декабр€ 2014 г.;PC, PS3, PS4, X360, XONE
https://stopga.me/images/games/2019/06/07/c170x119/OHWV-M07YettKwF54cPtPA/HYhQTE-.jpg;6.8;Darksiders: Genesis;https://stopgame.ru/game/darksiders_genesis;rpg;;5 декабр€ 2019 г.;NSW, PC, PS4, Stadia, XONE
https://stopga.me/images/games/logos/6959/c170x119/LJ1bG0yoITnriPiAp1gEvQ/act_of_war_high_treason.jpg;6.8;Act of War: High Treason;https://stopgame.ru/game/act_of_war_high_treason;add-on;strategy;24 марта 2006 г.;PC
https://stopga.me/images/games/logos/11015/c170x119/B6LaCCBqEPOxqwu8xVhkXg/closure.jpg;6.8;Closure;https://stopgame.ru/game/closure;arcade;logic;27 марта 2012 г.;PC, PS3
https://stopga.me/images/games/logos/13180/c170x119/E_us5zFGjsBJQQ37LiIR9g/saints_row_2_ultor_exposed.jpg;6.8;Saints Row 2: Ultor Exposed;https://stopgame.ru/game/saints_row_2_ultor_exposed;action;add-on;23 апрел€ 2009 г.;PS3, X360
https://stopga.me/images/games/logos/14706/c170x119/Hw7TTVxK197-V-2mxKBA9w/football_manager_2015.jpg;6.8;Football Manager 2015;https://stopgame.ru/game/football_manager_2015;strategy;sport;7 но€бр€ 2014 г.;Mac, PC
https://stopga.me/images/games/logos/1112/c170x119/XJkEZA0eHNzIYPS7vG92SQ/firestarter.jpg;6.8;FireStarter;https://stopgame.ru/game/firestarter;action;;28 но€бр€ 2003 г.;PC
https://stopga.me/images/games/logos/6596/c170x119/qoiFRYj3--7JLRONVPr6mg/la_rush.jpg;6.8;L.A. Rush;https://stopgame.ru/game/la_rush;arcade;racing;11 окт€бр€ 2005 г.;PC, PS2, PSP, XBOX
https://stopga.me/images/games/logos/9537/c170x119/tqbYq9_A6yU6THVux9aRsQ/puzzle_quest_galactrix.jpg;6.8;Puzzle Quest: Galactrix;https://stopgame.ru/game/puzzle_quest_galactrix;logic;rpg;24 феврал€ 2009 г.;NDS, PC, PS3, X360
https://stopga.me/images/games/logos/14048/c170x119/vQDgeYMCP-rmbU4KUaZtUg/10_second_ninja.jpg;6.8;10 Second Ninja;https://stopgame.ru/game/10_second_ninja;arcade;;5 марта 2014 г.;Mac, PC
https://stopga.me/images/games/logos/14815/c170x119/nRAOcYJq6mXs1lpq7yewIQ/braveland_wizard.jpg;6.8;Braveland Wizard;https://stopgame.ru/game/braveland_wizard;strategy;;4 декабр€ 2014 г.;Android, iOS, Mac, PC
https://stopga.me/images/games/logos/16662/c170x119/TaxaSevJ8syiVqnLvQEf4g/kingdom_hearts_hd_2_8_final_chapter_prologue.jpg;6.8;Kingdom Hearts HD 2.8 Final Chapter Prologue;https://stopgame.ru/game/kingdom_hearts_hd_2_8_final_chapter_prologue;rpg;;24 €нвар€ 2017 г.;PS4
https://stopga.me/images/games/logos/913/c170x119/88kP_D6Dh8E-UJPICO-5MA/eracer.jpg;6.8;ERacer;https://stopgame.ru/game/eracer;arcade;racing;2001 г.;PC
https://stopga.me/images/games/logos/1368/c170x119/ukUS3-H62qdAUiEoOHWnVA/helicops.jpg;6.8;HeliCOPS;https://stopgame.ru/game/helicops;simulator;;1996 г.;PC
